Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC,Training Time (s)
Logistic_Regression,0.7479487269561116,0.5092402106744832,0.6402575839712564,0.5672823531565644,0.7546248105216523,0.5247116370539782,2.62
Decision_Tree,0.7698132902419624,0.5371879097636579,0.7797968207973045,0.6361462126079818,0.7731079799579289,0.47575126119004707,93.87
Random_Forest,0.8604325112349542,0.714002773723951,0.7659403784024251,0.7390602184965607,0.9133321376598598,0.8545244521449505,162.06
Extra_Trees,0.8533208040488491,0.6969228414301655,0.763694176161571,0.728782300663238,0.9070032912011184,0.8453292098883942,146.47
Gradient_Boosting,0.8627961799901137,0.7408939486399696,0.7201509136743639,0.7303751825987266,0.8989978762894699,0.8360186036995263,1586.42
AdaBoost,0.8326311748337026,0.672111082271081,0.6861297011627256,0.6790480475206363,0.8743093965218287,0.7948657034286786,589.72
XGBoost,0.8640275711170718,0.7312963090622541,0.7478613675093166,0.7394860823998847,0.9112870718303447,0.852707399364145,9.85
LightGBM,0.8629837428770014,0.7283923434781064,0.7479124175602452,0.7380233308465648,0.9108623739828806,0.8519522655038136,9.35
CatBoost,0.8624241907194636,0.7318472983120335,0.7368394184183722,0.7343348741653827,0.9053791583889756,0.8440351341854492,15.71
Linear_SVM,0.747807584315477,0.5090261296443513,0.6397446525071653,0.5669481666594856,0.7539293119985033,0.5243835064740836,32.04
SGD_Linear_SVM,0.7416500013800614,0.49953428635892927,0.6297096710675052,0.5571188919476944,0.7389299456159882,0.49130481161943845,36.15
MLP,0.8495726828142212,0.6920356042696468,0.7514664734867914,0.720527615555755,0.9013144913705574,0.8388947229727091,163.12
LSTM,0.8679620006373374,0.7701872042568187,0.6959920848111513,0.7312123448781372,0.8981079346859889,0.8334948102405563,62.38
GRU,0.8692429485136739,0.7834550965957506,0.6817029324607826,0.7290457769181173,0.8938985199642253,0.8270746731992347,57.56
TCN,0.8750373243871901,0.7949516463594353,0.6950051171598669,0.7416261674727596,0.9032636499645811,0.8424401225027643,940.99
